Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
4/29/2005,218.9552518,218.9552518,210.126411,217.1894836,1245090000,0,0
5/2/2005,218.9553223,222.4868597,218.9553223,218.9553223,165560000,0,0
5/3/2005,218.9552402,222.4867764,217.1894722,220.7210083,200510000,0,0
5/4/2005,222.4868136,229.549887,220.7210452,227.7841187,466600000,0,0
5/6/2005,227.7840467,233.0813501,227.7840467,231.3155823,214880000,0,0
5/9/2005,231.3155878,231.3155878,226.0182843,229.5498199,324580000,0,0
5/10/2005,229.5498199,231.3155878,227.7840521,229.5498199,162970000,0,0
5/11/2005,226.0182843,231.3155878,224.2525164,229.5498199,115490000,0,0
5/12/2005,231.3155878,231.3155878,229.5498199,229.5498199,135610000,0,0
5/13/2005,227.7840467,231.3155823,227.7840467,231.3155823,87980000,0,0
5/16/2005,229.549887,229.549887,227.7841187,227.7841187,65160000,0,0
5/17/2005,229.5498992,233.0814362,227.7841308,233.0814362,160420000,0,0
5/18/2005,233.0813501,233.0813501,229.5498145,231.3155823,148410000,0,0
5/19/2005,231.3156677,233.0814362,231.3156677,233.0814362,113820000,0,0
5/20/2005,231.3155823,231.3155823,229.5498145,231.3155823,111580000,0,0
5/23/2005,229.5498145,231.3155823,229.5498145,231.3155823,29340000,0,0
5/25/2005,229.5498145,231.3155823,229.5498145,231.3155823,121100000,0,0
5/26/2005,229.5498992,234.8472046,229.5498992,233.0814362,222780000,0,0
5/27/2005,233.0813501,233.0813501,231.3155823,231.3155823,179860000,0,0
5/30/2005,231.3156259,236.6129303,231.3156259,236.6129303,197660000,0,0
5/31/2005,236.6129611,245.441803,236.6129611,245.441803,357220000,0,0
6/1/2005,243.6759644,245.4417322,241.9101965,243.6759644,189470000,0,0
6/2/2005,243.6759577,250.7390289,243.6759577,250.7390289,357880000,0,0
6/3/2005,250.7390689,254.2706051,247.2075328,252.504837,319250000,0,0
6/6/2005,250.7390498,250.7390498,247.2075139,248.9732819,153440000,0,0
6/7/2005,248.9733951,252.5049326,247.2076263,247.2076263,158940000,0,0
6/8/2005,247.2076263,248.9733951,243.6760888,247.2076263,156300000,0,0
6/9/2005,247.2075139,248.9732819,245.4417459,248.9732819,83980000,0,0
6/10/2005,248.9733951,248.9733951,245.4418576,247.2076263,62030000,0,0
6/13/2005,245.4418576,248.9733951,245.4418576,247.2076263,155870000,0,0
6/14/2005,248.9732611,250.7390289,247.2074933,250.7390289,150820000,0,0
6/15/2005,250.7390633,256.0363674,250.7390633,254.2705994,461550000,0,0
6/16/2005,254.2705994,259.5679035,250.7390633,254.2705994,305650000,0,0
6/17/2005,254.2705676,259.5678711,254.2705676,259.5678711,173220000,0,0
6/20/2005,259.5679534,259.5679534,256.0364167,257.8021851,99610000,0,0
6/21/2005,256.0364167,261.3337218,254.2706483,257.8021851,211940000,0,0
6/22/2005,257.8021851,257.8021851,252.5048799,257.8021851,185660000,0,0
6/23/2005,256.0363674,257.8021355,254.2705994,254.2705994,72680000,0,0
6/24/2005,254.2705785,256.0363464,252.5048106,256.0363464,112010000,0,0
6/27/2005,254.2705645,254.2705645,250.7390289,250.7390289,70670000,0,0
6/28/2005,252.5047967,254.2705645,250.7390289,250.7390289,142950000,0,0
6/29/2005,252.5047967,254.2705645,250.7390289,250.7390289,49340000,0,0
6/30/2005,252.5048313,254.2705994,250.7390633,254.2705994,229650000,0,0
7/1/2005,254.2706483,257.8021851,252.5048799,257.8021851,101220000,0,0
7/4/2005,256.0363732,256.0363732,250.7390689,252.504837,152210000,0,0
7/5/2005,252.5048178,252.5048178,248.9732819,248.9732819,266870000,0,0
7/6/2005,250.7390498,250.7390498,247.2075139,248.9732819,120810000,0,0
7/7/2005,247.2075713,248.9733397,243.6760346,245.441803,396080000,0,0
7/8/2005,243.675978,248.9732819,243.675978,248.9732819,101260000,0,0
7/11/2005,248.9732819,248.9732819,247.2075139,248.9732819,36510000,0,0
7/12/2005,248.9733951,248.9733951,247.2076263,247.2076263,99170000,0,0
7/13/2005,247.2076263,248.9733951,247.2076263,247.2076263,152770000,0,0
